"","lat","lon","total"
"1",-54.429579,-36.587909,1
"2",-42.8729302,147.3013674,1
"3",-41.468917,-72.9411364,1
"4",-40.900557,174.885971,2
"5",-38.416097,-63.616672,3
"6",-37.8491409,144.9937739,1
"7",-37.813611,144.963056,1
"8",-37.4713077,144.7851531,1
"9",-34.9284989,138.6007456,1
"10",-34.7678337,-58.3792534,1
"11",-34.6036844,-58.3815591,2
"12",-34.600823,-58.467831,1
"13",-34.0948167,-56.2202946,1
"14",-33.9248685,18.4240553,2
"15",-33.8688197,151.2092955,8
"16",-33.7139247,25.5207358,1
"17",-33.5356513,150.6336091,1
"18",-33.4488897,-70.6692655,1
"19",-33.3805735,-70.5710493,1
"20",-33.2262828,150.8609358,1
"21",-32.9442426,-60.6505388,1
"22",-32.1347346,28.1854042,1
"23",-31.9505269,115.8604572,1
"24",-31.2532183,146.921099,1
"25",-30.559482,22.937506,3
"26",-28.6104322,153.1932534,5
"27",-27.7472575,152.9532584,1
"28",-27.4697707,153.0251235,3
"29",-27.2423392,-50.2188556,1
"30",-26.9107052,-48.6709133,1
"31",-26.65,153.066667,1
"32",-26.2041028,28.0473051,2
"33",-25.274398,133.775136,3
"34",-25.2637399,-57.575926,1
"35",-23.5505199,-46.6333094,3
"36",-23.5328871,-46.7919978,1
"37",-23.442503,-58.443832,2
"38",-23.3044524,-51.1695824,1
"39",-22.9114522,-43.196804,1
"40",-22.9068467,-43.1728965,7
"41",-22.3534263,-42.7076107,1
"42",-22.2887261,-42.5340796,1
"43",-20.4697105,-54.6201211,1
"44",-19.9166813,-43.9344931,1
"45",-19.8096435,-43.8947172,1
"46",-16.6868912,-49.2647943,1
"47",-16.290154,-63.588653,1
"48",-15.8270369,-49.8362237,2
"49",-15.3875259,28.3228165,1
"50",-14.235004,-51.92528,21
"51",-12.9730401,-38.502304,1
"52",-12.579738,-41.7007272,2
"53",-12.046374,-77.0427934,2
"54",-10.447525,105.690449,1
"55",-10.4221174,-62.4694406,1
"56",-9.6498487,-35.7089492,1
"57",-9.4167977,-40.503516,1
"58",-8.8399876,13.2894368,1
"59",-8.3405389,115.0919509,1
"60",-7.8090256,110.363649,1
"61",-7.5857564,-35.1007543,1
"62",-7.2574719,112.7520883,1
"63",-6.7765974,-79.8442978,1
"64",-6.6721548,-38.0514566,2
"65",-6.5406665,107.4462717,1
"66",-6.2382699,106.9755726,1
"67",-6.2023936,106.6527099,1
"68",-6.1744651,106.822745,1
"69",-6.1275118,106.6536859,1
"70",-5.7792569,-35.200916,1
"71",-3.1190275,-60.0217314,2
"72",-2.6377821,-56.7295415,2
"73",-2.5391099,-44.2829046,1
"74",-1.831239,-78.183406,1
"75",-1.2920659,36.8219462,2
"76",-0.789275,113.921327,6
"77",-0.7277328,-48.5181221,1
"78",-0.023559,37.906193,4
"79",1.352083,103.819836,3
"80",3.0738379,101.5183469,2
"81",3.139003,101.686855,2
"82",3.4516467,-76.5319854,1
"83",4.210484,101.975766,1
"84",4.570868,-74.297333,3
"85",4.7109886,-74.072092,1
"86",4.8580767,6.9209135,1
"87",5.152149,46.199616,1
"88",5.3158475,-75.9927652,1
"89",5.836163,102.4077409,1
"90",5.980408,116.0734568,1
"91",6.244203,-75.5812119,1
"92",6.3300571,-10.7577044,1
"93",6.42375,-66.58973,5
"94",6.5243793,3.3792057,2
"95",7.369722,12.354722,2
"96",7.6056826,-74.8062648,2
"97",8.460555,-11.779889,1
"98",8.537981,-80.782127,1
"99",8.750983,-75.8785348,1
"100",8.8556838,7.179026,1
"101",9.0669877,-79.3870749,1
"102",9.081999,8.675277,4
"103",9.748917,-83.753428,3
"104",9.967492,-72.5204827,2
"105",10.0071689,76.3158307,1
"106",10.183333,0.616667,1
"107",10.378758,-66.8521565,1
"108",10.4805937,-66.9036063,1
"109",10.587508,-66.9213628,1
"110",12.1165,-61.679,1
"111",12.879721,121.774017,6
"112",13.0826802,80.2707184,1
"113",13.4689356,123.277158,1
"114",13.7563309,100.5017651,2
"115",13.794185,-88.89653,2
"116",14.554729,121.0244452,1
"117",14.5995124,120.9842195,2
"118",14.6680747,120.9658454,1
"119",14.6760413,121.0437003,2
"120",14.739952,121.0267879,1
"121",15.1186009,104.3220095,1
"122",15.199999,-86.241905,1
"123",15.414999,-61.370976,1
"124",15.5149204,-87.9922684,2
"125",15.783471,-90.230759,1
"126",15.870032,100.992541,1
"127",16.7569318,-93.1292353,2
"128",17.3433796,-62.7559043,1
"129",17.385044,78.486671,1
"130",17.607789,8.081666,1
"131",18.109581,-77.297508,4
"132",18.2165154,-66.3119138,1
"133",18.220833,-66.590149,6
"134",18.2387995,-66.035249,1
"135",18.4459626,-66.0678764,1
"136",18.5204303,73.8567437,1
"137",18.735693,-70.162651,2
"138",18.7790597,-99.2308014,1
"139",18.9242095,-99.2215659,1
"140",18.9569392,-99.2315748,1
"141",18.971187,-72.285215,1
"142",19.0412967,-98.2061996,1
"143",19.0759837,72.8776559,2
"144",19.173773,-96.1342241,1
"145",19.3219488,-99.0438249,1
"146",19.3437444,-99.1561883,1
"147",19.3656534,-99.1228286,1
"148",19.4064492,-102.0430476,1
"149",19.4121597,-99.1712821,3
"150",19.417431,-99.1411525,2
"151",19.4193122,-99.1858255,1
"152",19.4326077,-99.133208,8
"153",19.8761653,75.3433139,1
"154",20.3085674,85.8193357,1
"155",20.5027258,-100.815822,1
"156",20.5887932,-100.3898881,1
"157",20.593684,78.96288,5
"158",20.6596988,-103.3496092,3
"159",20.7098786,-89.0943377,1
"160",20.9673702,-89.5925857,1
"161",21.3996475,-157.7973653,1
"162",21.4513314,-158.0152807,1
"163",21.4691137,-78.6568942,1
"164",21.5010495,-158.0209227,1
"165",21.521757,-77.781167,1
"166",22.2697139,39.7858575,2
"167",22.7641984,-102.5865558,1
"168",23.2001229,72.3399927,1
"169",23.634501,-102.552784,20
"170",24.26694,-98.8362755,1
"171",24.4384457,54.4287424,1
"172",24.4432479,-104.1175578,1
"173",24.453884,54.3773438,1
"174",24.5246542,39.5691841,1
"175",24.5550593,-81.7799871,1
"176",24.8090649,-107.3940117,1
"177",25.0329694,121.5654177,2
"178",25.03428,-77.39628,2
"179",25.216667,55.166667,2
"180",25.260913,55.374186,1
"181",25.354826,51.183884,1
"182",25.43208,-100.9836611,2
"183",25.5516034,-80.6326916,1
"184",25.6103836,-80.4294996,1
"185",25.6653934,-80.3992652,1
"186",25.6866142,-100.3161126,6
"187",25.7616798,-80.1917902,55
"188",25.7704554,-80.1942628,1
"189",25.7815621,-100.1875974,1
"190",25.790654,-80.1300455,5
"191",25.8575963,-80.2781057,2
"192",25.8900949,-80.1867138,1
"193",25.9017472,-97.4974838,1
"194",25.9650919,-80.1222671,1
"195",26.007765,-80.2962555,2
"196",26.0217447,-97.5341533,1
"197",26.057506,-80.1611889,1
"198",26.0717438,-97.4763733,2
"199",26.1224386,-80.1373174,13
"200",26.1375399,-80.103104,1
"201",26.1420358,-81.7948103,3
"202",26.1595194,-97.9908366,1
"203",26.2034071,-98.2300124,2
"204",26.2124013,127.6809317,1
"205",26.2378597,-80.1247667,2
"206",26.271192,-80.2706044,1
"207",26.2934048,-97.9930588,1
"208",26.3017374,-98.1633432,1
"209",26.3050556,-98.1745111,1
"210",26.3184123,-80.0997657,1
"211",26.339806,-81.7786972,1
"212",26.3683064,-80.1289321,5
"213",26.4185248,-81.4174057,1
"214",26.4614625,-80.0728201,5
"215",26.5628537,-81.9495331,1
"216",26.5909025,-80.1008762,1
"217",26.640628,-81.8723084,2
"218",26.6617635,-80.2683571,1
"219",26.6845104,-80.6675577,1
"220",26.820553,30.802498,2
"221",26.8233946,-80.1386547,1
"222",26.8331174,-81.0931234,1
"223",26.8466937,80.946166,2
"224",26.9246438,75.818674,1
"225",26.9342246,-80.0942087,2
"226",26.9597709,49.5687416,1
"227",27.0238036,74.2179326,1
"228",27.197548,-80.2528257,1
"229",27.2544906,-80.2297697,1
"230",27.2730492,-80.3582261,1
"231",27.3336755,128.5737302,1
"232",27.3364347,-82.5306527,3
"233",27.4989278,-82.5748194,1
"234",27.5158689,-97.856109,1
"235",27.5305671,-99.4803241,3
"236",27.6648274,-81.5157535,62
"237",27.7518284,-82.6267345,2
"238",27.763383,-82.5436722,2
"239",27.8005828,-97.396381,3
"240",27.829352,-97.2241138,1
"241",27.8428025,-82.6995443,1
"242",27.8498701,-82.4827675,1
"243",27.9094665,-82.7873244,2
"244",27.950575,-82.4571776,23
"245",27.9658533,-82.8001026,3
"246",27.9789074,-97.3986041,1
"247",28.0205733,-97.0544341,1
"248",28.033886,1.659626,1
"249",28.0344621,-80.5886646,2
"250",28.0394654,-81.9498042,1
"251",28.0473658,-82.6111984,1
"252",28.0582985,-81.8661442,1
"253",28.0587031,-82.4138539,1
"254",28.0888298,-80.6520272,1
"255",28.1108485,-82.6948221,1
"256",28.1511243,-82.4614831,1
"257",28.1726677,-80.5899424,1
"258",28.2143574,-82.7350514,2
"259",28.2441768,-82.7192671,2
"260",28.2716755,-82.7195451,1
"261",28.373949,-81.551844,2
"262",28.3861159,-80.7419984,1
"263",28.4743207,-81.4678193,2
"264",28.5383355,-81.3792365,26
"265",28.5399653,-81.3799851,1
"266",28.5478831,-81.7380989,1
"267",28.5494447,-81.7728543,1
"268",28.5691677,-81.5439619,1
"269",28.6139391,77.2090212,4
"270",28.660437,-106.1020263,1
"271",28.6611089,-81.3656242,1
"272",28.6906285,77.2764329,2
"273",28.6916182,-100.5408622,1
"274",28.7091433,-100.4995214,1
"275",28.7931502,-81.2727616,2
"276",28.8028612,-81.269453,1
"277",28.829243,-81.797152,1
"278",29.028318,-81.3031179,1
"279",29.0338575,-95.4343859,1
"280",29.0587757,76.085601,1
"281",29.0729673,-110.9559192,3
"282",29.0938652,-97.2891568,1
"283",29.1871986,-82.1400923,6
"284",29.2108147,-81.0228331,2
"285",29.4241219,-98.4936282,26
"286",29.4737142,-90.3074646,1
"287",29.4906146,-98.5597662,1
"288",29.5016257,-97.4524926,1
"289",29.5074538,-95.0949303,1
"290",29.5427297,-95.0204837,1
"291",29.5526158,-98.2702283,1
"292",29.561618,-98.2269553,1
"293",29.5668955,-94.3935216,1
"294",29.5824497,-98.4908512,1
"295",29.5844524,-81.2078699,2
"296",29.5957696,-90.7195348,2
"297",29.607046,-95.5251503,1
"298",29.6150433,-98.3168216,1
"299",29.6185669,-95.5377215,7
"300",29.6403939,-95.3280398,1
"301",29.6452718,-95.2773289,1
"302",29.6516344,-82.3248262,4
"303",29.6573847,-95.0979839,2
"304",29.7023032,-98.4940106,1
"305",29.7199489,-95.3422334,1
"306",29.7270612,-94.961594,2
"307",29.727312,-95.3520876,1
"308",29.7355047,-94.9774274,3
"309",29.7408978,-95.5827334,1
"310",29.7601082,-95.3656107,2
"311",29.7604267,-95.3698028,109
"312",29.7841944,-95.8316803,1
"313",29.8828699,-95.4493105,1
"314",29.8832749,-97.9413941,3
"315",29.8851459,-99.8124935,1
"316",29.8896442,-96.8350999,1
"317",29.8942825,-97.9810845,1
"318",29.8993723,-90.1003506,1
"319",29.9012437,-81.3124341,3
